id	comment	character	voice
102001	Once upon a time, mother and sibling who are poor, were living happily in the deep mountain.	NARR	102001
103001	Their father passed away early, but the mother was taking responsibility of their family’s wealth by selling handmade rice cakes at the market which located on over several hills.	NARR	103001
103002	Shall i start to make some rice cake?	MOM	103002
103003	[Rice cake making mini game]	OHNUI	103003
104001			
105001	Mother the rice cake is so well made!	BOY	105001
105002	I think it'll be so delicious!	GIRL	105002
105003	Mother had a hard time to sell her rice cake at the market but she got strength from seeing her daughter and son who get along well.	NARR	105003
106001	It was late at night as usual when the mother finished working at the market and returning to home with the leftover rice cake.	NARR	106001
106002	I think the forest is darker today.	MOM	106002
107001	It was very dark in the forest like before she was use to walk but this time she hurried her steps.\nAll of the sudden, on the behind tree she began to see a black figure. \nGlowing eyes, sharp fangs. It was a giant tiger.	NARR	107001
107002	(Tiger growling)	TIGER	107002
107003	It's a tiger!	MOM	107003
108001	The tiger was drooling and looked at the mother who smells like delicious rice cake and said.	NARR	108001
108002	I won't eat you if you give me a piece of rice cake!	TIGER	108002
109001	[A mini game that gives you rice cake] \nThe tiger is threatening dreadfully! Please throw rice cake at the tiger!		
110001	(Mom screaming)	MOM	110001
110002	Mother gave all the rice cakes to the tiger but he was still hungry, and eventually he ate the mother.	NARR	110002
111001	Well, I'm still hungry.	TIGER	111001
113001	Shall i go to her house?	TIGER	113001
113002	The tiger who stole his mother's clothes to eat the sibling.	NARR	113002
114001	Dressed up like their mother and walked toward to the sibling’s house.	NARR	114001
201001	While the sibling were playing with toys at home, sister smiled brightly at the sound of footsteps she heard outside.	NARR	201001
201002	I think mom must have come back!	GIRL	201002
201003	When the sister tried to open the door with joy, her brother who felt different from usual, held her hand and pulled back.	NARR	201003
201004	Are you sure that you are our mother?	BOY	201004
201005	At that moment, loud and husky voice came out from beyond the door.	NARR	201005
201006	Guys, Mom. open the door.	TIGER	201006
201007	The brother who thought the voice is strange asked to tiger.	NARR	201007
201008	Then show me your hand through the doorstep.	BOY	201008
202001	below the doorstep, there was fluffy fur and thick jelly-like hands. It was obviously tiger's hands but he thought her hands had "swelled up from the hard work" that belief came from the strong anticipation to be reunited with his beloved mother in hurry, so he opened the door with belief of it.	NARR	202001
202002	Mom, you did a great job. I missed you!	BOY	202002
203001	Then, there was a huge tiger in his mother's clothes standing in front of his eyes. 	NARR	203001
203002	Roar!!	TIGER	203002
203003	When they saw a tiger drooling and trying to devour them and they began to tremble and looking around.	NARR	203003
204001	Brother, I think that tiger wants us because he's hungry... Oh! I see the rice cake basket that mom prepared, Mom said there is a rice cake that the tiger especially likes... What was that?	GIRL	204001
204002	[Picking rice cake for the tiger mini game]\n You have to decide on the rice cake for the tiger. The outcome of the game depends on the rice cake you choose, and you can experience various endings.	NARR	204002
204003	Option 1. Red bean rice cake: Rice cake full of traditional sweet red beans.\nOption 2. Mugwort rice cake: Rice cake with a bitter scent of mugwort.	NARR	
205001	Here...this is the rice cake that you like the most !!!	OHNUI	205001
205002	The sister carefully placed delicious rice cakes made by her mother in front of the tiger.	NARR	205002
206001	The tiger was hungry, so as soon as he saw the rice cakes, he began to eat in hurry with joy.	NARR	206001
206002	The tiger who liked sweet red bean cakes continuously eat them, becoming more and more greedy with the endless rice cakes. The tiger's stomach slowly became full.	NARR	206002
207001	Time has passed... Finally, the tiger fell into a sweet slumber.	NARR	207001
207002	Now when tiger's sleeping sound reverberates and fill the room quietly, it was the chance for sibling.	NARR	207002
208001	When they open sleeping tiger's belly, there were mother that they have been looking for.	NARR	208001
208002	Mom!!!	OHNUI	208002
208003	The sibling and mother share the joyfulness of reunion briefly, but soon they were thinking how to handle with the tiger.	NARR	208003
209001	Let’s Fill up the tiger's belly with stones to make him feel full!	BOY	209001
210001	While the tiger was asleep, the sibling and mother walked around the house and collected the stones, and fill the tiger's big stomach with it.	NARR	210001
211001	The mother sewed the tiger's belly skillfully. After finishing everything, the sibling and mother held hands and quietly left the house to the faraway place.	NARR	211001
212001	The tiger who was asleep deeply without realizing his stomach had been split, woke up a few hours after sibling and mother had left.	NARR	212001
213001	Sighing...	TIGER	213001
213002	Bcs i ate too much rice cake im so thirsty! 	TIGER	213002
214001	The tiger who was Feeling something strange but full and thirsty at the same time and left the house to search the well for quenching his thirst. 	NARR	214001
215001	After wandering for a long time, the tiger found a well when he was so tired that he could hardly walk. He approached the well to quench his thirst.	NARR	215001
215002	(Gasping)	TIGER	215002
216001	The tiger leaned into the well in a hurry with joy. At that moment! The weight of the stones in his body pushed him forward and he lost his balance.	NARR	216001
216002	OHOHOH..!!! AHHHHHHH~~AH	TIGER	216002
216003	The tiger fell into the well.	NARR	216003
216004	AHHHHH!! PLS Save....me...	TIGER	216004
217001	There is a story that the sibling and the mother who ran away while the tiger was asleep, are living happily in a new village and selling rice cakes.	NARR	217001
217002	(HAHAHA giggling)	ALL	217002
218001	Here... It's your favorite rice cake!!!	OHNUI	218001
218002	The sibling carefully placed delicious rice cakes made by her mother in front of the tiger.	NARR	218002
219001	The tiger was so hungry, as soon as he saw the rice cake, he started to devour it in hurry with joy.	NARR	219001
220001	Ewww!!! What’s this awful taste?!	TIGER	220001
220002	He was a tiger who hated mugwort rice cake with a bitter scent of mugwort.	NARR	220002
221001	(Roaring from furious tiger)	TIGER	221001
221002	The brother who saw tiger that rather be mad 	NARR	221002
